mutants,conditions,replicate,Ratio_PRCI,Ratio_Prophage
control,No_DnaseI,1st,61.51073716,6.068841898
control,No_DnaseI,1st,,6.387740575
control,No_DnaseI,1st,21.72752461,6.661294053
control,DnaseI,1st,73.04182458,8.988312296
control,DnaseI,1st,20.64113811,5.312463074
control,DnaseI,1st,41.12315775,6.701182206
control,No_DnaseI,2nd,74.40168301,6.81054148
control,No_DnaseI,2nd,64.48749577,7.272958587
control,No_DnaseI,2nd,74.11328091,7.220861061
control,DnaseI,2nd,114.9937518,15.8590322
control,DnaseI,2nd,118.0208782,14.65584192
control,DnaseI,2nd,133.3336435,9.564665455
CSP_induced,No_DnaseI,1st,39.52134858,106.2631958
CSP_induced,No_DnaseI,1st,47.01679044,101.7394035
CSP_induced,No_DnaseI,1st,44.66207188,102.4877077
CSP_induced,DnaseI,1st,61.09817394,262.3772798
CSP_induced,DnaseI,1st,65.61242298,260.9938508
CSP_induced,DnaseI,1st,,256.282587
CSP_induced,No_DnaseI,2nd,28.3882424,94.75114152
CSP_induced,No_DnaseI,2nd,32.43175458,85.96563912
CSP_induced,No_DnaseI,2nd,35.55621452,81.61541864
CSP_induced,DnaseI,2nd,266.284311,553.581271
CSP_induced,DnaseI,2nd,236.7344544,523.8505142
CSP_induced,DnaseI,2nd,288.9866324,430.2696143
control,No_DnaseI,3rd,69.54640008,5.862064854
control,No_DnaseI,3rd,87.08798695,5.561427065
control,No_DnaseI,3rd,87.92515357,5.419382459
control,DnaseI,3rd,122.7193574,9.954327455
control,DnaseI,3rd,127.0394657,6.502041569
control,DnaseI,3rd,139.3364683,9.013802591
CSP_induced,No_DnaseI,3rd,47.14552442,179.0382547
CSP_induced,No_DnaseI,3rd,55.3109901,186.8172165
CSP_induced,No_DnaseI,3rd,61.71281634,184.4265028
CSP_induced,DnaseI,3rd,242.4056485,490.46959
CSP_induced,DnaseI,3rd,292.105387,454.8957947
CSP_induced,DnaseI,3rd,313.8779765,409.0338214
