mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
NO_CSP,49108.33,42066.82,2hour,642417.3,1st
NO_CSP,63760.12,20988.41,2hour,610223.44,1st
NO_CSP,79452.71,52544.6,2hour,495862.72,1st
CSP_DnaseI,3285.85,122856.11,2hour,42410.87,1st
CSP_DnaseI,4228.15,144074.33,2hour,63174.5,1st
CSP_DnaseI,4020.21,132183.23,2hour,49577.48,1st
CSP,36526.43,569070.06,2hour,449205.3,1st
CSP,45498,804711.3,2hour,792359.6,1st
CSP,43548.36,771728.56,2hour,423219.5,1st
E99,40365.44,149512.02,2hour,266605.7,1st
E99,42497.1,161957.64,2hour,298080.38,1st
E99,51650.2,122709.26,2hour,163048.94,1st
E90,101475.66,174691.28,2hour,773335,1st
E90,112459.2,216238.73,2hour,764173.8,1st
E90,106558.77,230182.2,2hour,784594.5,1st
E50,548386,92162.77,2hour,481053.53,1st
E50,555544.44,97285.8,2hour,766077.44,1st
E50,510097.7,83708.27,2hour,492531.4,1st
E10,400814.7,76262.16,2hour,693071.8,1st
E10,754379.2,91184.81,2hour,818215.25,1st
E10,796227.3,100289.59,2hour,670778.4,1st
E1,877080.2,82640.11,2hour,432991.94,1st
E1,983360.9,73078.2,2hour,528093.6,1st
E1,1056476.8,83860.77,2hour,454023,1st
E99_CSP,55883.94,2239560.2,2hour,3304761.5,1st
E99_CSP,72317.87,2289593,2hour,3045307.2,1st
E99_CSP,74402.05,2390686,2hour,3899801,1st
E90_CSP,125025.94,3478865.5,2hour,2383556.2,1st
E90_CSP,142203.08,3756829.2,2hour,2326545.8,1st
E90_CSP,125671.47,3000232,2hour,3249303.5,1st
E50_CSP,376857.66,2366381.5,2hour,1550081.8,1st
E50_CSP,440404.28,2625339,2hour,1730670,1st
E50_CSP,433198.03,2766659.5,2hour,1358081,1st
E10_CSP,643176.1,1707624.9,2hour,1815723.4,1st
E10_CSP,776370.94,1875880.6,2hour,1002266.94,1st
E10_CSP,819024.9,1862411,2hour,1157809.2,1st
E1_CSP,798874.2,2513908.8,2hour,1554590.5,1st
E1_CSP,810731.44,2883686,2hour,1297726.2,1st
E1_CSP,898220.44,2566526,2hour,1874284.6,1st
