mutants,Replicate,conditions,PRCI_circular,Phage_circular
E99,5th,1hour,"277,119.600","32,009.686"
E99,5th,1hour,"320,304.470","35,279.523"
E99,5th,1hour,"315,336.220","34,582.176"
E1,5th,1hour,"319,140.060","25,530.729"
E1,5th,1hour,"361,326.030","21,894.596"
E1,5th,1hour,"343,624.300","20,507.710"
E99,5th,2hour,"937,022.060","1,630,405.200"
E99,5th,2hour,"999,887.100","2,312,953.000"
E99,5th,2hour,"1,007,912.500","2,112,603.800"
E1,5th,2hour,"713,985.600","881,163.700"
E1,5th,2hour,"942,756.500","821,713.600"
E1,5th,2hour,"946,418.440","737,640.600"
E99,5th,4hour,"1,294,612.100","493,011.700"
E99,5th,4hour,"1,585,120.200","600,182.700"
E99,5th,4hour,"1,628,788.900","534,613.100"
E1,5th,4hour,"1,279,116.900","243,725.000"
E1,5th,4hour,"1,298,275.600","228,714.300"
E1,5th,4hour,"1,337,270.000","162,402.030"
