mutants,deletion_rates
Control,0
CSP,0
CSP_DnaseI,0
E99+CSP,0.0000025
E90+CSP,0.000023125
E50+CSP,3.94E-05
E10+CSP,6.26E-05
E1+CSP,0.000112281
E99,0
E90,4.46E-08
E50,3.57E-08
E10,3.14E-07
E1,5.32E-07
Control,0
CSP,0
CSP_DnaseI,1.62E-07
E99+CSP,1.89E-06
E90+CSP,2.86E-05
E50+CSP,0.00015814
E10+CSP,0.000158824
E1+CSP,0.000229167
E99,3.05E-08
E90,7.08E-08
E50,6.25E-08
E10,1.03E-07
E1,0
Control,0
CSP,0
CSP_DnaseI,0
E99+CSP,4.66E-06
E90+CSP,0.000110204
E50+CSP,0.000325
E10+CSP,0.000818182
E1+CSP,0.000995745
E99,0
E90,0
E50,4.72E-08
E10,0.00000056
E1,1.07E-06
Control,3.47E-08
CSP,5.30E-09
CSP_DnaseI,1.09E-08
E99+CSP,1.26E-06
E90+CSP,4.93E-05
E50+CSP,0.000366667
E10+CSP,0.000618182
E1+CSP,0.000882759
E99,2.98E-08
E90,6.51E-09
E50,5.12E-09
E10,4.13E-08
E1,3.29E-09
E99,0
E90,0
E50,0
E10,1.77E-07
E1,2.82E-07
