Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
AB011548.2	SAMN01911278	Escherichia coli O157:H7 str. Sakai plasmid pOSAK1 DNA, complete sequence.	3306	Escherichia coli O157:H7 str. Sakai plasmid pOSAK1 DNA, complete sequence.
AB011549.2	SAMN01911278	Escherichia coli O157:H7 str. Sakai plasmid pO157 DNA, complete sequence.	92721	Escherichia coli O157:H7 str. Sakai plasmid pO157 DNA, complete sequence.
AE014075.1	SAMN02604094	Escherichia coli CFT073, complete genome.	5231428	Escherichia coli CFT073, complete genome.
AM946981.2	SAMEA2272558	Escherichia coli BL21(DE3), complete genome.	4558947	Escherichia coli BL21(DE3), complete genome.
AP009048.1	SAMD00061081	Escherichia coli str. K-12 substr. W3110 DNA, complete genome.	4646332	Escherichia coli str. K-12 substr. W3110 DNA, complete genome.
AP009240.1	SAMD00061087	Escherichia coli SE11 DNA, complete genome.	4887515	Escherichia coli SE11 DNA, complete genome.
AP009243.1	SAMD00061087	Escherichia coli SE11 plasmid pSE11-3 DNA, complete sequence.	60555	Escherichia coli SE11 plasmid pSE11-3 DNA, complete sequence.
AP009246.1	SAMD00061087	Escherichia coli SE11 plasmid pSE11-6 DNA, complete sequence.	4082	Escherichia coli SE11 plasmid pSE11-6 DNA, complete sequence.
AP009378.1	SAMD00060923	Escherichia coli SE15 DNA, complete genome.	4717338	Escherichia coli SE15 DNA, complete genome.
AP009379.1	SAMD00060923	Escherichia coli SE15 plasmid pECSF1 DNA, complete genome.	122345	Escherichia coli SE15 plasmid pECSF1 DNA, complete genome.
AP010953.1	SAMD00060955	Escherichia coli O26:H11 str. 11368 DNA, complete genome.	5697240	Escherichia coli O26:H11 str. 11368 DNA, complete genome.
AP010958.1	SAMD00060956	Escherichia coli O103:H2 str. 12009 DNA, complete genome.	5449314	Escherichia coli O103:H2 str. 12009 DNA, complete genome.
AP010959.1	SAMD00060956	Escherichia coli O103:H2 str. 12009 plasmid pO103 DNA, complete sequence.	75546	Escherichia coli O103:H2 str. 12009 plasmid pO103 DNA, complete sequence.
AP010960.1	SAMD00060957	Escherichia coli O111:H- str. 11128 DNA, complete genome.	5371077	Escherichia coli O111:H- str. 11128 DNA, complete genome.
AP010962.1	SAMD00060957	Escherichia coli O111:H- str. 11128 plasmid pO111_2 DNA, complete sequence.	97897	Escherichia coli O111:H- str. 11128 plasmid pO111_2 DNA, complete sequence.
AP012030.1	SAMD00060976	Escherichia coli DH1 (ME8569) DNA, complete genome.	4621430	Escherichia coli DH1 (ME8569) DNA, complete genome.
AP018488.1	SAMD00108492	Escherichia coli O157:H7 pv15-279 DNA, complete genome.	5598155	Escherichia coli O157:H7 pv15-279 DNA, complete genome.
AP018784.2	SAMD00127374	Escherichia coli SK1144, complete genome.	5029297	Escherichia coli SK1144, complete genome.
AP018796.1	SAMD00129666	Escherichia coli E2855 DNA, complete genome.	5470440	Escherichia coli E2855 DNA, complete genome.
AP018802.1	SAMD00129667	Escherichia coli E2863 DNA, complete genome.	5357442	Escherichia coli E2863 DNA, complete genome.
AP018804.1	SAMD00129667	Escherichia coli E2863 plasmid pE2863-2 DNA, complete genome.	92925	Escherichia coli E2863 plasmid pE2863-2 DNA, complete genome.
