accession	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
AE002098	ENA|AE002098|AE002098.2|provirus_1099110_1136674	37565	Provirus	1099110-1136674	54	11	0.9445	NA	10	57.3910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE003852	ENA|AE003852|AE003852.1|provirus_1564152_1583513	19362	Provirus	1564152-1583513	27	11	0.9514	NA	8	16.0427	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
AE003852	ENA|AE003852|AE003852.1|provirus_1935801_1948022	12222	Provirus	1935801-1948022	20	11	0.9265	NA	2	11.6137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE003853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE004969	ENA|AE004969|AE004969.1|provirus_451840_496769	44930	Provirus	451840-496769	64	11	0.9481	NA	10	49.6040	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE004969	ENA|AE004969|AE004969.1|provirus_1042858_1088060	45203	Provirus	1042858-1088060	61	11	0.9424	NA	8	52.9582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE004969	ENA|AE004969|AE004969.1|provirus_1583028_1610327	27300	Provirus	1583028-1610327	40	11	0.8685	NA	2	26.4722	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE005672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE007317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE009948	ENA|AE009948|AE009948.1|provirus_1833783_1872632	38850	Provirus	1833783-1872632	52	11	0.9735	NA	11	66.3186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE009948	ENA|AE009948|AE009948.1|provirus_557682_605968	48287	Provirus	557682-605968	75	11	0.9667	NA	9	83.0343	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE009949	ENA|AE009949|AE009949.1|provirus_1451844_1493373	41530	Provirus	1451844-1493373	65	11	0.9795	NA	15	85.7722	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
