accession	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
AE002098.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE003852.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE003853.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE004969.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE005672.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE007317.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE009948.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE009949.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE016830.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE016831.1	ENA|AE016831|AE016831.1	57660	No terminal repeats	59	11	0.9914	NA	2	15.2849	FATA_prgIc;FATA_prgL	NA
AE016832.1	ENA|AE016832|AE016832.1	17963	No terminal repeats	21	11	0.9931	NA	1	4.4203	NA	NA
AE016833.1	ENA|AE016833|AE016833.1	66320	No terminal repeats	71	11	0.9927	NA	5	26.3265	FA_orf13	NF033693
AL157959.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM889136.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM942759.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM942760.1	ENA|AM942760|AM942760.1	36289	No terminal repeats	49	11	0.9945	NA	10	34.8032	T_virB1;T_virB2;virb4;T_virB6;T_virB8;T_virB9;MOBP1	NA
AM990992.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM990993.1	ENA|AM990993|AM990993.1	5246	No terminal repeats	5	11	0.9943	NA	1	3.7538	NA	NF012176
AM990994.1	ENA|AM990994|AM990994.1	4381	No terminal repeats	6	11	0.9951	NA	2	5.8399	NA	NA
AM990995.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP006725.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP006726.1	ENA|AP006726|AP006726.1	224152	No terminal repeats	244	11	0.9937	NA	4	73.2621	F_traE	NF033134;NF000402
AP009351.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011940.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011941.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011942.1	ENA|AP011942|AP011942.1	9129	No terminal repeats	9	11	0.9822	NA	1	1.5852	NA	NA
AP011943.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011944.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012491.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012496.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012600.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012601.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012602.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP013063.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP013064.1	ENA|AP013064|AP013064.1	41517	No terminal repeats	54	11	0.9932	NA	6	26.7551	MOBP1;T_virB5	NF012147
AP013065.1	ENA|AP013065|AP013065.1	58929	No terminal repeats	67	11	0.9935	NA	21	41.4938	F_traL;F_traK;F_traB;F_traV;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NA
