Biosample,Accession,Species,Prophage count
SAMN02603997,AE002098.2,Neisseria spp,1
SAMN02603969,AE003852.1,Vibrio cholerae,0
SAMN02603969,AE003853.1,Vibrio cholerae,0
SAMN02604088,AE004969.1,Neisseria spp,1
SAMN02604002,AE005672.3,Streptococcus pneumoniae,0
SAMN02603218,AE007317.1,Streptococcus pneumoniae,0
SAMN02604013,AE009948.1,Streptococcus agalactiae,1
SAMN02603495,AE009949.1,Streptococcus pyogenes,4
SAMN02603978,AE016830.1,Enterococcus faecalis,2
SAMN02603978,AE016831.1,Enterococcus faecalis,0
SAMN02603978,AE016832.1,Enterococcus faecalis,0
SAMN02603978,AE016833.1,Enterococcus faecalis,0
SAMEA1705949,AL157959.1,Neisseria spp,1
SAMEA3138289,AM889136.1,Neisseria spp,2
SAMEA1705945,AM942759.1,Proteus spp,3
SAMEA1705945,AM942760.1,Proteus spp,0
SAMEA2272644,AM990992.1,Staphylococcus aureus,2
SAMEA2272644,AM990993.1,Staphylococcus aureus,0
SAMEA2272644,AM990994.1,Staphylococcus aureus,0
SAMEA2272644,AM990995.1,Staphylococcus aureus,0
SAMD00060934,AP006725.1,Klebsiella pneumoniae,0
SAMD00060934,AP006726.1,Klebsiella pneumoniae,0
SAMD00060913,AP009351.1,Staphylococcus aureus,4
SAMD00060971,AP011940.1,Helicobacter pylori,0
SAMD00060972,AP011941.1,Helicobacter pylori,0
SAMD00060972,AP011942.1,Helicobacter pylori,0
SAMD00060973,AP011943.1,Helicobacter pylori,0
SAMD00060973,AP011944.1,Helicobacter pylori,0
SAMD00061013,AP012491.2,Streptococcus pyogenes,1
SAMD00061007,AP012496.1,Bacillus subtilis,2
SAMD00061056,AP012600.1,Helicobacter pylori,0
SAMD00061057,AP012601.1,Helicobacter pylori,0
SAMD00061057,AP012602.1,Helicobacter pylori,0
SAMD00061009,AP013063.1,Serratia spp,4
SAMD00061009,AP013064.1,Serratia spp,0
SAMD00061009,AP013065.1,Serratia spp,0
SAMD00061026,AP014523.1,Helicobacter pylori,0
SAMD00061025,AP014524.1,Vibrio cholerae,0
SAMD00061025,AP014525.1,Vibrio cholerae,0
SAMD00000355,AP014596.1,Streptococcus pyogenes,3
SAMD00018700,AP014622.1,Pseudomonas aeruginosa,7
SAMD00020223,AP014649.1,Acinetobacter baumannii,4
SAMD00020223,AP014650.1,Acinetobacter baumannii,0
SAMD00056130,AP017610.1,Escherichia coli,5
SAMD00056130,AP017611.1,Escherichia coli,0
SAMD00056130,AP017612.1,Escherichia coli,0
SAMD00056130,AP017613.1,Escherichia coli,0
SAMD00056130,AP017614.1,Escherichia coli,0
SAMD00056130,AP017615.1,Escherichia coli,0
SAMD00056130,AP017616.1,Escherichia coli,0
SAMD00056606,AP017623.1,Enterococcus faecalis,0
SAMD00057778,AP017629.1,Streptococcus pyogenes,0
SAMD00051588,AP017632.1,Helicobacter pylori,0
SAMD00051589,AP017633.1,Helicobacter pylori,0
SAMD00051589,AP017634.1,Helicobacter pylori,0
SAMD00064326,AP017922.1,Staphylococcus aureus,1
SAMD00064326,AP017923.1,Staphylococcus aureus,0
SAMD00092841,AP018385.1,Neisseria spp,1
SAMD00092841,AP018386.1,Neisseria spp,0
SAMD00092841,AP018387.1,Neisseria spp,0
SAMD00096762,AP018391.1,Streptococcus pneumoniae,0
SAMD00118470,AP018677.1,Vibrio cholerae,0
SAMD00119525,AP018764.1,Haemophilus influenzae,5
SAMD00119526,AP018765.1,Haemophilus influenzae,5
SAMD00119527,AP018766.1,Haemophilus influenzae,1
SAMD00119529,AP018768.1,Haemophilus influenzae,1
SAMD00119530,AP018769.1,Haemophilus influenzae,1
SAMD00119532,AP018771.1,Haemophilus influenzae,3
SAMD00119533,AP018772.1,Haemophilus influenzae,0
SAMD00119535,AP018774.1,Haemophilus influenzae,0
SAMD00119536,AP018775.1,Haemophilus influenzae,0
SAMD00119537,AP018776.1,Haemophilus influenzae,0
SAMD00119538,AP018777.1,Haemophilus influenzae,2
SAMD00119539,AP018778.1,Haemophilus influenzae,4
SAMD00119540,AP018779.1,Haemophilus influenzae,0
SAMD00119541,AP018780.1,Haemophilus influenzae,2
SAMD00119542,AP018781.1,Haemophilus influenzae,3
SAMD00137662,AP018935.1,Streptococcus agalactiae,1
SAMD00137664,AP018937.1,Streptococcus pneumoniae,0
SAMD00137665,AP018938.1,Streptococcus pneumoniae,1
SAMD00143521,AP019009.1,Serratia spp,2
SAMD00143521,AP019010.1,Serratia spp,0
SAMD00110695,AP019192.2,Streptococcus pneumoniae,0
SAMD00112300,AP019394.1,Enterococcus faecium,1
SAMD00112300,AP019395.1,Enterococcus faecium,0
SAMD00112300,AP019396.1,Enterococcus faecium,0
SAMD00034931,AP019548.2,Streptococcus pyogenes,1
SAMD00169822,AP019714.1,Bacillus subtilis,2
SAMD00169822,AP019715.1,Bacillus subtilis,0
SAMD00179457,AP019856.1,Escherichia coli,4
SAMD00179457,AP019857.1,Escherichia coli,0
SAMD00179457,AP019859.1,Escherichia coli,0
SAMD00173301,AP020310.1,Streptococcus agalactiae,1
SAMD00180477,AP020322.1,Staphylococcus aureus,3
SAMD00180477,AP020323.1,Staphylococcus aureus,0
SAMD00191436,AP021873.1,Serratia spp,2
