resolved_accession	length
CP133053.1	316034
CP022285.1	170420
CP091333.1	3996233
CP001922.1	74451
CP074696.1	8961
CP184601.1	3932139
CP088900.1	2309
CP139827.1	24188
CP166770.1	4075106
CP018143.1	4021072
CP179702.1	4025750
CP038503.1	29128
CP088898.1	2924
CP044518.1	6099
CP131886.1	110546
CP072281.1	218105
CP039024.1	30876
CP188279.1	110967
CP096704.1	4017911
CP155637.1	3989228
CP072124.1	87529
CP059301.1	174292
CP091334.1	3980154
CP169795.1	3914702
CP031380.1	3919274
CP098793.1	9878
CP163040.1	72257
CP082952.1	4007379
CP175875.1	3126
CP151692.1	4017757
CP098794.1	5452
CP157258.1	104651
CP034243.1	3943105
CP053218.1	3699225
CP096697.1	112156
CP021348.1	25150
CP139832.1	48590
CP017643.1	70875
CP137066.1	3908746
CP175874.1	4057
CP050423.1	5679
CP065432.1	4016386
CP080453.1	2178
CP159764.1	80394
CP113453.1	1691
CP091361.1	4014141
CP107598.1	19667
CP051862.1	3763047
CP050529.1	2682
CP107578.1	19667
CP143351.1	14639
CP115622.1	18774
CP125223.1	3908916
CP187579.1	4178746
CP096694.1	22354
CP107586.1	19667
CP175849.1	28960
CP131900.1	8731
CP050411.1	8731
CP155458.1	3994412
CP159518.1	4000167
CP104912.1	3951179
CP035052.1	74091
CP147667.1	8731
CP155725.1	8731
CP023140.1	3891370
CP144560.1	8731
CP157481.1	72787
CP040260.1	202283
CP113082.1	8731
CP175654.1	70401
CP017652.1	3967831
CP058289.1	3927723
CP169831.1	10967
CP085788.1	4023505
CP050425.1	4002798
CP053219.1	97161
AP031582.1	3890845
CP123855.1	19052
CP124678.1	3932645
CP043458.1	3684634
CP169867.1	115879
CP077843.1	3987206
JBQOVK000000000.1	84615
JBQOVK000000000.1	9139
JBQOVK000000000.1	12274
JBQOVK000000000.1	135708
JBQOVK000000000.1	15101
JBQOVK000000000.1	59345
JBQOVK000000000.1	895
JBQOVK000000000.1	24045
JBQOVK000000000.1	16476
JBQOVK000000000.1	18324
JBQOVK000000000.1	8576
JBQOVK000000000.1	31202
JBQOVK000000000.1	6082
JBQOVK000000000.1	70474
JBQOVK000000000.1	30510
CP050393.1	8731
CP020598.1	3870945
CP136180.1	3840805
CP014528.1	4172609
CP096730.1	77542
CP132915.1	3749633
CP121370.1	3717007
CP178357.1	200633
CP181858.1	178725
CU459140.1	94413
CP175886.1	2762
CP050385.1	4210906
CP175829.1	9860
CP147665.1	4041416
CP107615.1	19667
CP173428.1	3841751
CP169769.1	9205
CP094286.1	8731
CM132596.1	4024257
CP019034.1	4004719
CP178414.1	4554
JBSOQV000000000.1	70518
JBSOQV000000000.1	62604
JBSOQV000000000.1	12635
JBSOQV000000000.1	154706
JBSOQV000000000.1	61874
JBSOQV000000000.1	84096
JBSOQV000000000.1	201815
JBSOQV000000000.1	25035
JBSOQV000000000.1	98616
JBSOQV000000000.1	64195
JBSOQV000000000.1	43844
CP046899.1	205113
CP104448.1	4092895
CP196001.1	3791486
CP175845.1	2543
AP024806.1	8948
CP095092.1	11178
CP175651.1	29278
JBQOVP000000000.1	68783
JBQOVP000000000.1	16769
JBQOVP000000000.1	28111
JBQOVP000000000.1	9907
JBQOVP000000000.1	55763
JBQOVP000000000.1	196305
CP033869.1	4193847
CP091352.1	3905527
CP175650.1	77820
CP088894.1	3858469
CP050906.1	8731
CP146231.1	3948245
CP051475.1	8731
CP076804.1	3987199
CP102764.1	87371
CP003850.1	8721
CP069842.1	14879
CP155477.1	108159
CP169822.1	7818
CP087329.1	88290
CP194388.1	3986543
CP181857.1	4036762
CP131905.1	17703
CP199970.1	4074655
CP040083.1	9185
CP173429.1	68501
CP096765.1	110970
CP027609.1	8731
CP058290.1	7655
CP096681.1	4237035
CP163385.1	8638
LT605060.1	148956
CP144244.1	2309
CP096575.1	3878974
CP091328.1	4055807
CP139209.1	10631
CP113081.1	83610
CP024577.1	15113
CP134575.1	77530
CP191593.1	16095
CP043469.1	3908609
CM129839.1	4039479
CP027181.1	6078
CP054561.1	10832
AP024810.1	3948
CP104345.1	338291
CP137072.1	97180
CP018144.1	77513
CP059731.1	17003
CP104449.1	50024
CP169376.1	112009
CP096738.1	3951111
LT605059.1	3980027
CP096722.1	4061968
CP059475.1	113429
CP151694.1	4027485
CP046555.1	19653
CP160032.1	3964414
CP038652.1	5734
CP151079.1	107052
CP175876.1	4082851
CP023024.1	7143
CP181855.1	178726
CP084735.1	69524
CP074698.1	3973160
CP169835.1	8768
CP026339.1	16095
CP169790.1	8911
LN865143.1	3928513
CP095091.1	3921433
CP038645.1	116047
AP024802.1	3920683
CP187581.1	6772
CP169820.1	100723
CM130065.1	3977085
CP096896.1	106927
CP107607.1	11625
CP062919.1	3747579
CP195998.1	35018
CP020581.1	3932204
CP169768.1	3919491
CP091370.1	4021915
CP039026.1	30410
CP020577.1	73264
CP066239.1	11508
CP169780.1	16606
CP174090.1	4079290
CP059386.1	3800835
CP191653.1	7459
CP149838.1	4004850
CP035044.1	12952
CP115629.1	4032528
CP191655.1	3892144
CP124679.1	8731
CP039342.1	55269
CP134578.1	66757
CP159516.1	4001362
CP175842.1	2735
CP145433.1	1663
CP166163.1	108159
CP039025.2	3955017
CP018334.1	11586
CP175882.1	4001604
CP076741.1	112148
CP061516.1	83626
CP110462.1	3983259
CP091373.1	4058269
CP072295.1	4095778
CP117761.1	3030
CP175854.1	19048
CP195996.1	3840219
CP156046.1	8923
CP157261.1	107426
CP132214.1	4029133
CP169828.1	3934575
CP103342.1	2421
CP169807.1	7854
CP195702.1	17414
CP136175.1	8066
JBQOVR000000000.1	106947
JBQOVR000000000.1	37191
JBQOVR000000000.1	162192
JBQOVR000000000.1	10957
JBQOVR000000000.1	75280
JBQOVR000000000.1	118241
JBQOVR000000000.1	211722
JBQOVR000000000.1	10717
JBQOVR000000000.1	14509
JBQOVR000000000.1	63179
JBQOVR000000000.1	2908
CP160130.1	4008721
CP195995.1	169059
CP129247.1	16101
CP104910.1	8731
CP072293.1	7540
CP196931.1	70099
CP046654.1	3980848
CP040052.1	5681
CP103415.1	11192
CP162146.1	96204
CP134581.1	110957
CP050403.1	4137731
CP184586.1	184473
CP125226.1	14639
CP179708.1	8731
AP024807.1	7104
CP050406.1	12574
CP178418.1	3863355
CP096754.1	71044
CP107595.1	3955973
CP060504.1	3898606
CM132597.1	3978296
CP150098.1	114265
CP151719.1	4061790
CP131885.1	3922459
CP087341.1	93962
CP096746.1	112156
CP072292.1	68225
CP169812.1	135535
CP043470.1	110962
CP136174.1	9474
CP098796.1	141631
CP178411.1	2309
CP107587.1	4057314
