accession	seq_name	amidase_count	lysozyme_count	total_count
CP137531.1_virus_genes.tsv	ENA|CP137531|CP137531.1|provirus_635159_639661	0	0	0
CP133852.1_virus_genes.tsv	ENA|CP133852|CP133852.1|provirus_16593_30346	0	0	0
CP024672.1_virus_genes.tsv	ENA|CP024672|CP024672.1|provirus_2224517_2263998	0	0	0
CP185082.1_virus_genes.tsv	ENA|CP185082|CP185082.1|provirus_5358098_5374200	0	0	0
OW849491.1_virus_genes.tsv	ENA|OW849491|OW849491.1|provirus_2066002_2100013	1	1	2
CP157332.1_virus_genes.tsv	ENA|CP157332|CP157332.1|provirus_4144045_4160727	0	0	0
CP061082.1_virus_genes.tsv	ENA|CP061082|CP061082.1|provirus_1990259_2031277	1	1	2
CP032699.1_virus_genes.tsv	ENA|CP032699|CP032699.1|provirus_750411_792111	1	0	1
CP026044.1_virus_genes.tsv	ENA|CP026044|CP026044.1|provirus_69763_100500	0	0	0
CP191199.1_virus_genes.tsv	ENA|CP191199|CP191199.1|provirus_799257_863506	0	0	0
CP046112.1_virus_genes.tsv	ENA|CP046112|CP046112.1|provirus_2900050_2937519	0	0	0
JBRUSS000000000_virus_genes.tsv	ENA|JBRUSS010000002|JBRUSS010000002.1|provirus_757403_767797	0	0	0
CP091888.1_virus_genes.tsv	ENA|CP091888|CP091888.1	1	0	1
CP043211.1_virus_genes.tsv	ENA|CP043211|CP043211.1|provirus_1689333_1701803	0	0	0
CP194345.1_virus_genes.tsv	ENA|CP194345|CP194345.1|provirus_2055799_2074901	1	1	2
CP171678.1_virus_genes.tsv	ENA|CP171678|CP171678.1|provirus_1167485_1179706	0	0	0
CP043772.1_virus_genes.tsv	ENA|CP043772|CP043772.1|provirus_329631_387261	1	0	1
CM127574.1_virus_genes.tsv	ENA|CM127574|CM127574.1|provirus_1700206_1740769	0	0	0
CP069238.1_virus_genes.tsv	ENA|CP069238|CP069238.1|provirus_2180323_2305201	0	0	0
CP020853.1_virus_genes.tsv	ENA|CP020853|CP020853.1|provirus_2367017_2407690	0	0	0
CP056505.1_virus_genes.tsv	ENA|CP056505|CP056505.1|provirus_2946276_2986888	1	1	2
CP169650.1_virus_genes.tsv	ENA|CP169650|CP169650.1|provirus_2287134_2324447	0	0	0
CP135729.1_virus_genes.tsv	ENA|CP135729|CP135729.1|provirus_1631139_1652628	0	0	0
CP050385.1_virus_genes.tsv	ENA|CP050385|CP050385.1|provirus_1953735_1996331	0	1	1
CP149991.1_virus_genes.tsv	ENA|CP149991|CP149991.1|provirus_2859098_2876658	0	0	0
CP027442.1_virus_genes.tsv	ENA|CP027442|CP027442.1|provirus_554400_704738	4	3	7
CP013317.1_virus_genes.tsv	ENA|CP013317|CP013317.1|provirus_2172752_2210516	1	1	2
CP145057.1_virus_genes.tsv	ENA|CP145057|CP145057.1|provirus_525964_570931	0	0	0
CP126876.1_virus_genes.tsv	ENA|CP126876|CP126876.1|provirus_3990129_4020804	0	0	0
CP149978.1_virus_genes.tsv	ENA|CP149978|CP149978.1|provirus_1913145_1954230	0	0	0
CP129250.1_virus_genes.tsv	ENA|CP129250|CP129250.1|provirus_1529335_1575528	0	0	0
CP175045.1_virus_genes.tsv	ENA|CP175045|CP175045.1|provirus_142046_178702	0	0	0
AP040355.1_virus_genes.tsv	ENA|AP040355|AP040355.1|provirus_2497090_2538790	0	0	0
LS483480.1_virus_genes.tsv	ENA|LS483480|LS483480.1|provirus_1393469_1427512	0	0	0
CP175595.1_virus_genes.tsv	ENA|CP175595|CP175595.1|provirus_2837365_2880192	0	0	0
CP034002.1_virus_genes.tsv	ENA|CP034002|CP034002.1|provirus_2035346_2084277	1	0	1
CP027373.1_virus_genes.tsv	ENA|CP027373|CP027373.1|provirus_4792415_4846892	1	1	2
CP173707.1_virus_genes.tsv	ENA|CP173707|CP173707.1|provirus_2835052_2873014	1	1	2
CP115637.1_virus_genes.tsv	ENA|CP115637|CP115637.1|provirus_1073313_1119683	0	0	0
LS483335.1_virus_genes.tsv	ENA|LS483335|LS483335.1|provirus_993612_1089619	0	0	0
CP059542.1_virus_genes.tsv	ENA|CP059542|CP059542.1|provirus_704027_740154	0	1	1
LR135339.1_virus_genes.tsv	ENA|LR135339|LR135339.1|provirus_2147341_2161895	0	0	0
CP066434.1_virus_genes.tsv	ENA|CP066434|CP066434.1|provirus_1724191_1764217	0	0	0
LT592161.1_virus_genes.tsv	ENA|LT592161|LT592161.1|provirus_1633798_1656285	0	0	0
CP122400.1_virus_genes.tsv	ENA|CP122400|CP122400.1|provirus_2426055_2457162	0	0	0
CP054410.1_virus_genes.tsv	ENA|CP054410|CP054410.1|provirus_4159156_4192274	1	1	2
CP190387.1_virus_genes.tsv	ENA|CP190387|CP190387.1|provirus_399986_444044	0	0	0
CP124121.1_virus_genes.tsv	ENA|CP124121|CP124121.1|provirus_4003950_4041655	1	1	2
